Hub ID,Order ID,Customer ID,Picker ID,Rider ID,Order Date,Order Quantity,Order Amount,Order Placed TS,Order Assigned TS,Picker Start TS,Picker End TS,Expedited Delivery TS,Rider Pickup TS,Rider Drop TS,Distance KM,Issue Flag,City,Hub Name,Monthly Operating Cost,Picker Name,Rider Name
7,1,134,12,30,06-01-2025,7,155,06-01-2025 19:42,06-01-2025 19:43,06-01-2025 19:52,06-01-2025 20:02,06-01-2025 20:42,06-01-2025 20:04,06-01-2025 20:50,2.4,N,Colinburgh,Hub_7,42748,Alicia Allen,Jason Johnson
6,2,260,38,47,12-05-2025,50,172,12-05-2025 15:28,12-05-2025 15:29,12-05-2025 15:35,12-05-2025 15:58,12-05-2025 16:28,12-05-2025 16:04,12-05-2025 16:31,10.43,N,East Jaime,Hub_6,28103,Robert Vargas,Eric Herring
4,3,602,36,44,19-02-2025,36,109,19-02-2025 20:11,19-02-2025 20:14,19-02-2025 20:23,19-02-2025 20:44,19-02-2025 21:11,19-02-2025 20:53,19-02-2025 21:14,3.62,N,New Laurenchester,Hub_4,15666,Sherry Yang,Diane Elliott
1,4,345,40,38,17-04-2025,48,112,17-04-2025 20:32,17-04-2025 20:36,17-04-2025 20:41,17-04-2025 21:00,17-04-2025 21:32,17-04-2025 21:03,17-04-2025 21:25,6.11,N,West William,Hub_1,25989,Albert Hawkins,Linda Brown
2,5,453,4,35,18-04-2025,19,74,18-04-2025 07:07,18-04-2025 07:12,18-04-2025 07:16,18-04-2025 07:28,18-04-2025 08:07,18-04-2025 07:43,18-04-2025 08:36,9.53,N,Solomonland,Hub_2,10393,Michael Pugh,Clifford Maxwell
10,6,44,16,17,11-03-2025,25,155,11-03-2025 13:16,11-03-2025 13:18,11-03-2025 13:20,11-03-2025 13:39,11-03-2025 14:16,11-03-2025 13:55,11-03-2025 14:45,6.12,N,West Brandonmouth,Hub_10,47835,Mary Garcia,Amy Floyd
4,7,757,12,12,08-02-2025,41,122,08-02-2025 14:57,08-02-2025 15:00,08-02-2025 15:10,08-02-2025 15:33,08-02-2025 15:57,08-02-2025 15:35,08-02-2025 15:52,9.49,N,New Laurenchester,Hub_4,15666,Alicia Allen,Ian Joseph
3,8,160,11,34,13-09-2025,47,133,13-09-2025 19:44,13-09-2025 19:47,13-09-2025 19:55,13-09-2025 20:18,13-09-2025 20:44,13-09-2025 20:30,13-09-2025 21:15,9.46,N,West Stevenmouth,Hub_3,42292,Melvin Peterson,Mrs. Megan Hall
9,9,184,42,5,31-05-2025,28,144,31-05-2025 16:31,31-05-2025 16:36,31-05-2025 16:44,31-05-2025 17:04,31-05-2025 17:31,31-05-2025 17:23,31-05-2025 18:19,4.03,N,South Jose,Hub_9,41560,Ann Tate,Tracy Warren
6,10,737,15,19,26-07-2025,33,133,26-07-2025 08:12,26-07-2025 08:13,26-07-2025 08:16,26-07-2025 08:35,26-07-2025 09:12,26-07-2025 08:53,26-07-2025 09:39,8.46,N,East Jaime,Hub_6,28103,Nicole Smith,Hayden Roth DVM
4,11,64,43,46,22-08-2025,34,72,22-08-2025 08:06,22-08-2025 08:08,22-08-2025 08:10,22-08-2025 08:22,22-08-2025 09:06,22-08-2025 08:36,22-08-2025 09:30,10.73,N,New Laurenchester,Hub_4,15666,Elizabeth Williams,Brian Taylor
6,12,125,50,23,18-08-2025,48,160,18-08-2025 21:58,18-08-2025 22:03,18-08-2025 22:11,18-08-2025 22:30,18-08-2025 22:58,18-08-2025 22:38,18-08-2025 23:18,9.4,N,East Jaime,Hub_6,28103,Timothy Case,Tammy Humphrey
2,13,860,10,3,20-06-2025,11,137,20-06-2025 10:34,20-06-2025 10:37,20-06-2025 10:43,20-06-2025 10:58,20-06-2025 11:34,20-06-2025 11:06,20-06-2025 12:04,7.5,N,Solomonland,Hub_2,10393,Jeanne Lewis,Bryan Morse
6,14,174,27,14,15-10-2025,17,150,15-10-2025 12:35,15-10-2025 12:39,15-10-2025 12:40,15-10-2025 12:56,15-10-2025 13:35,15-10-2025 13:10,15-10-2025 13:35,3.22,N,East Jaime,Hub_6,28103,James Donaldson,William Mason
2,15,252,2,11,24-06-2025,23,192,24-06-2025 15:24,24-06-2025 15:28,24-06-2025 15:34,24-06-2025 15:45,24-06-2025 16:24,24-06-2025 15:46,24-06-2025 16:40,2.94,N,Solomonland,Hub_2,10393,Stephanie Clark,Alejandro Cameron
6,16,996,10,49,03-02-2025,15,116,03-02-2025 22:13,03-02-2025 22:18,03-02-2025 22:22,03-02-2025 22:33,03-02-2025 23:13,03-02-2025 22:43,03-02-2025 23:24,6.88,N,East Jaime,Hub_6,28103,Jeanne Lewis,Patricia Bell
7,17,462,49,42,20-05-2025,39,79,20-05-2025 12:47,20-05-2025 12:51,20-05-2025 12:55,20-05-2025 13:09,20-05-2025 13:47,20-05-2025 13:21,20-05-2025 14:03,3.55,Y,Colinburgh,Hub_7,42748,Beverly Brown,Colin Dickson
2,18,976,5,45,21-06-2025,6,58,21-06-2025 11:37,21-06-2025 11:40,21-06-2025 11:42,21-06-2025 11:55,21-06-2025 12:37,21-06-2025 12:02,21-06-2025 12:57,11.61,N,Solomonland,Hub_2,10393,Thomas Cruz,Cory Gutierrez
6,19,87,3,19,17-03-2025,23,61,17-03-2025 11:53,17-03-2025 11:55,17-03-2025 11:59,17-03-2025 12:18,17-03-2025 12:53,17-03-2025 12:30,17-03-2025 13:27,10.61,Y,East Jaime,Hub_6,28103,Danielle Miller,Hayden Roth DVM
9,20,301,5,26,26-09-2025,9,200,26-09-2025 11:26,26-09-2025 11:27,26-09-2025 11:28,26-09-2025 11:37,26-09-2025 12:26,26-09-2025 11:57,26-09-2025 12:57,6.77,N,South Jose,Hub_9,41560,Thomas Cruz,Michael Scott
